"Date","Price","Open","High","Low","Vol.","Change %"
"12/18/2019","488.95","489.00","490.00","486.70","35.04K","-0.21%"
"12/17/2019","490.00","490.00","490.00","489.00","127.74K","0.00%"
"12/16/2019","490.00","486.10","490.00","486.10","10.10K","0.01%"
"12/13/2019","489.95","486.10","489.95","486.10","24.95K","0.79%"
"12/12/2019","486.10","488.00","489.90","486.10","19.92K","-0.80%"
"12/11/2019","490.00","485.00","490.00","485.00","136.17K","1.03%"
"12/10/2019","485.00","481.60","485.00","481.60","21.77K","0.80%"
"12/09/2019","481.15","481.00","481.50","481.00","5.51K","-0.19%"
"12/06/2019","482.05","484.50","484.50","481.10","21.64K","0.22%"
"12/05/2019","481.00","479.15","481.00","479.15","38.80K","-0.62%"
"12/04/2019","484.00","476.50","484.00","476.50","1.09K","0.00%"
"12/03/2019","484.00","483.00","484.00","483.00","42.64K","-0.10%"
"12/02/2019","484.50","485.00","485.00","483.10","16.89K","-0.10%"
"11/29/2019","485.00","483.00","485.00","483.00","56.61K","0.39%"
"11/28/2019","483.10","485.00","485.00","483.00","14.83K","0.01%"
"11/27/2019","483.05","481.00","484.00","481.00","8.07K","0.05%"
"11/26/2019","482.80","481.00","484.00","481.00","80.22K","0.36%"
"11/25/2019","481.05","478.50","481.05","478.25","11.14K","-0.80%"
"11/22/2019","484.95","489.00","492.00","475.05","61.42K","-0.42%"
"11/21/2019","487.00","477.00","488.85","477.00","117.69K","1.44%"
"11/20/2019","480.10","482.00","483.00","480.00","46.73K","-0.60%"
"11/19/2019","483.00","471.05","483.00","471.00","74.78K","0.84%"
"11/15/2019","479.00","472.00","480.00","472.00","74.74K","1.68%"
"11/14/2019","471.10","471.10","473.55","471.10","9.72K","0.00%"
"11/13/2019","471.10","473.70","473.70","471.10","92.94K","-0.55%"
"11/12/2019","473.70","474.00","476.00","473.55","29.90K","-0.48%"
"11/08/2019","476.00","472.70","476.00","472.70","32.21K","0.00%"
